cora
73.45 56.94 50.77 68.92
72.42 54.24 51.73 70.12
75.48 56.28 53.74 73.77
72.49 54.01 49.86 70.37
73.15 55.41 52.36 70.71
73.82 58.07 52.22 69.41
74.04 58.08 51.54 69.76
76.59 58.82 53.69 76.09
75.74 56.63 54.26 73.86
75.15 58.4 54.56 70.13
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 0.001
74.23 1.36
56.69 1.62
52.47 1.48
71.31 2.26
71.68 55.31 51.28 69.15
74.96 55.08 51.66 73.8
74.3 56.12 53.2 72.17
72.82 55.28 50.38 68.01
73.74 56.51 51.9 68.86
74.52 58.74 53.15 70.12
74.08 58.0 52.12 69.47
75.81 57.8 53.1 74.94
75.81 56.92 54.62 73.93
75.15 58.59 54.55 70.09
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 0.01
74.29 1.23
56.84 1.32
52.6 1.31
71.05 2.33
73.19 55.32 53.17 70.42
74.74 56.06 52.49 73.22
71.68 54.25 50.21 69.42
72.56 55.74 50.32 67.78
72.93 55.83 49.88 68.33
72.64 55.74 51.96 70.06
72.97 55.99 50.67 68.1
72.82 56.54 50.06 68.17
72.34 55.15 51.14 69.95
76.26 57.66 55.38 73.94
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 0.1
73.21 1.26
55.83 0.85
51.53 1.66
69.94 2.03
71.9 54.29 50.22 69.81
72.12 55.68 50.68 70.35
71.86 55.1 50.15 70.0
72.75 57.46 49.66 68.74
71.12 54.75 47.24 67.25
72.38 56.36 48.84 68.57
71.94 56.01 48.21 68.24
71.75 54.52 49.67 70.0
71.71 54.37 49.93 69.84
71.79 54.63 49.65 70.04
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 1
71.93 0.41
55.32 0.99
49.42 0.99
69.28 0.97
71.97 54.4 50.16 69.85
71.97 55.76 48.25 68.01
71.6 55.73 50.56 69.32
72.38 55.91 51.21 70.47
71.45 54.83 49.8 69.56
72.56 56.44 49.0 68.91
73.12 56.71 53.07 70.53
72.08 55.54 48.2 68.1
71.79 55.81 48.07 68.03
73.01 55.72 51.87 71.06
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 10
72.19 0.54
55.68 0.64
50.02 1.61
69.38 1.06
71.57 55.89 47.38 68.14
71.97 55.81 48.21 68.04
